국가(대륙)별,상품군별,판매유형별,2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4 p)
캐나다,음·식료품,면세점,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,5
캐나다,음·식료품,면세점 이외,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,181,92
캐나다,농축수산물,계,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
캐나다,농축수산물,면세점,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
캐나다,농축수산물,면세점 이외,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
캐나다,생활·자동차용품,계,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,87
캐나다,생활·자동차용품,면세점,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
캐나다,생활·자동차용품,면세점 이외,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,87
캐나다,기 타,계,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,57
캐나다,기 타,면세점,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
캐나다,기 타,면세점 이외,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,57
유럽연합+영국,합계,계,,,,,,,,,,,,,7897,7170,8177,8846,10525,8616,8463,9962,9773,10362,7342,12686,11024,9542,10080,10196,10592,9211,7252,5338,3671,5377,4257,4700,4140,6549
유럽연합+영국,합계,면세점,,,,,,,,,,,,,165,97,86,200,446,106,91,97,231,477,241,206,294,338,329,16,17,10,7,10,24,5,19,23,26,14
유럽연합+영국,합계,면세점 이외,,,,,,,,,,,,,7732,7073,8091,8646,10079,8510,8372,9865,9542,9885,7101,12480,10730,9204,9751,10180,10575,9201,7245,5328,3647,5372,4238,4677,4114,6535
유럽연합+영국,컴퓨터 및 주변기기,계,,,,,,,,,,,,,456,280,406,430,1030,630,655,852,633,715,513,617,694,334,524,358,508,281,232,244,154,299,1050,1561,1775,1164
유럽연합+영국,컴퓨터 및 주변기기,면세점,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽연합+영국,컴퓨터 및 주변기기,면세점 이외,,,,,,,,,,,,,456,280,406,430,1030,630,655,852,633,715,513,617,694,334,524,358,508,281,232,244,154,299,1050,1561,1775,1164
유럽연합+영국,가전·전자·통신기기,계,,,,,,,,,,,,,962,782,1084,966,844,610,573,578,605,589,428,2058,943,593,946,559,548,383,338,163,5,1,1,4,69,103
유럽연합+영국,가전·전자·통신기기,면세점,,,,,,,,,,,,,4,9,3,4,6,7,5,8,2,7,5,7,1,0,0,0,0,0,0,0,0,0,0,1,6,0
유럽연합+영국,가전·전자·통신기기,면세점 이외,,,,,,,,,,,,,958,773,1081,962,838,603,568,570,603,582,423,2051,942,593,946,559,548,383,338,163,5,1,1,3,63,103
유럽연합+영국,소프트웨어,계,,,,,,,,,,,,,22,37,47,49,28,34,45,97,28,26,12,28,26,26,22,25,21,27,23,8,0,0,0,0,7,0
유럽연합+영국,소프트웨어,면세점,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽연합+영국,소프트웨어,면세점 이외,,,,,,,,,,,,,22,37,47,49,28,34,45,97,28,26,12,28,26,26,22,25,21,27,23,8,0,0,0,0,7,0
유럽연합+영국,서 적,계,,,,,,,,,,,,,47,30,50,66,62,70,71,68,59,55,48,95,72,127,150,165,261,186,224,278,201,332,234,135,148,131
유럽연합+영국,서 적,면세점,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
